column,dtype,missing,missing_percent,unique_nonmissing
age,int64,0,0.0,5
sex,str,0,0.0,3
specify,str,495,97.82608695652173,4
home_language,str,0,0.0,24
have_you_ever_experienced_any_mental_health_difficulties_or_symptoms_before_starting_university_e_g_in_primary_or_high_school,str,0,0.0,2
if_yes_please_list_these_difficulties_and_or_symptoms,str,9,1.7786561264822136,293
if_you_have_ever_experienced_difficulties_and_or_symptoms_of_a_mental_illness_how_old_were_you_when_this_started,str,0,0.0,137
have_you_ever_been_diagnosed_with_a_mental_illness,str,0,0.0,3
if_you_have_been_diagnosed_formally_or_informally_please_list_the_diagnosis_diagnoses,str,0,0.0,177
was_this_diagnosis_made_before_or_after_you_left_high_school,str,0,0.0,3
if_you_have_been_diagnosed_with_a_mental_illness_at_what_age_was_this,str,0,0.0,102
have_you_ever_used_prescribed_psychiatric_medication_for_a_mental_illness_or_symptoms_of_one,str,0,0.0,3
are_you_currently_using_prescribed_psychiatric_medication_for_a_mental_illness_or_symptoms_of_one,str,0,0.0,3
have_you_ever_been_to_therapy_or_counselling_for_a_mental_illness_or_symptoms_of_one,str,0,0.0,3
are_you_currently_in_therapy_or_counselling_for_a_mental_illness_or_symptoms_of_one,str,0,0.0,3
bdi1_item_1,int64,0,0.0,4
bdi1_item_2,int64,0,0.0,4
bdi1_item_3,int64,0,0.0,4
bdi1_item_4,int64,0,0.0,4
bdi1_item_5,int64,0,0.0,4
bdi1_item_6,int64,0,0.0,4
bdi1_item_7,int64,0,0.0,4
bdi1_item_8,int64,0,0.0,4
bdi1_item_9,int64,0,0.0,4
bdi1_item_10,int64,0,0.0,4
bdi1_item_11,int64,0,0.0,4
bdi1_item_12,int64,0,0.0,4
bdi1_item_13,int64,0,0.0,4
bdi1_item_14,int64,0,0.0,4
bdi1_item_15,int64,0,0.0,4
bdi1_item_16,int64,0,0.0,4
bdi1_item_17,int64,0,0.0,4
bdi1_item_18,int64,0,0.0,4
bdi1_item_19,int64,0,0.0,4
bdi1_item_20,int64,0,0.0,4
bdi1_item_21,int64,0,0.0,4
bdi1_total,int64,0,0.0,48
audit1_item_1,int64,0,0.0,5
audit1_item_2,int64,0,0.0,5
audit1_item_3,int64,0,0.0,5
audit1_item_4,int64,0,0.0,5
audit1_item_5,int64,0,0.0,5
audit1_item_6,int64,0,0.0,5
audit1_item_7,int64,0,0.0,5
audit1_item_8,int64,0,0.0,3
audit1_item_9,int64,0,0.0,3
audit1_total,int64,0,0.0,26
aas1_item_1,float64,2,0.3952569169960474,5
aas1_item_2,float64,1,0.1976284584980237,5
aas1_item_3,float64,1,0.1976284584980237,5
aas1_item_4,float64,1,0.1976284584980237,5
aas1_item_5,float64,7,1.383399209486166,5
aas1_item_6,float64,2,0.3952569169960474,5
aas1_item_7,float64,3,0.592885375494071,5
aas1_item_8,int64,0,0.0,5
aas1_item_9,float64,1,0.1976284584980237,5
aas1_total,int64,0,0.0,31
psy1004_grade,int64,0,0.0,58
nbt_completed,str,0,0.0,1
nbt_year,int64,0,0.0,3
nbt_al,int64,0,0.0,53
nbt_math,int64,0,0.0,64
nbt_ql,int64,0,0.0,64
nbt_ave,int64,0,0.0,55
nbt_did_math,str,216,42.68774703557312,2
nbt_alql_ave,float64,0,0.0,97
matric_mark,int64,0,0.0,31
asrs1_item_1,int64,0,0.0,5
asrs1_item_2,int64,0,0.0,5
asrs1_item_3,int64,0,0.0,5
asrs1_item_4,int64,0,0.0,5
asrs1_item_5,int64,0,0.0,5
asrs1_item_6,int64,0,0.0,5
asrs1_item_7,int64,0,0.0,5
asrs1_item_8,int64,0,0.0,5
asrs1_item_9,int64,0,0.0,5
asrs1_item_10,int64,0,0.0,5
asrs1_item_11,int64,0,0.0,5
asrs1_item_12,int64,0,0.0,5
asrs1_item_13,int64,0,0.0,5
asrs1_item_14,int64,0,0.0,5
asrs1_item_15,int64,0,0.0,5
asrs1_item_16,int64,0,0.0,5
asrs1_item_17,int64,0,0.0,5
asrs1_item_18,int64,0,0.0,5
asrs1_total.x,int64,0,0.0,59
bai1_item_1,int64,0,0.0,4
bai1_item_2,int64,0,0.0,4
bai1_item_3,int64,0,0.0,4
bai1_item_4,int64,0,0.0,4
bai1_item_5,int64,0,0.0,4
bai1_item_6,int64,0,0.0,4
bai1_item_7,int64,0,0.0,4
bai1_item_8,int64,0,0.0,4
bai1_item_9,int64,0,0.0,4
bai1_item_10,int64,0,0.0,4
bai1_item_11,int64,0,0.0,4
bai1_item_12,int64,0,0.0,4
bai1_item_13,int64,0,0.0,4
bai1_item_14,int64,0,0.0,4
bai1_item_15,int64,0,0.0,4
bai1_item_16,int64,0,0.0,4
bai1_item_17,int64,0,0.0,4
bai1_item_18,int64,0,0.0,4
bai1_item_19,int64,0,0.0,4
bai1_item_20,int64,0,0.0,4
bai1_item_21,int64,0,0.0,4
bai1_total,int64,0,0.0,58
asrs1_total.y,float64,1,0.1976284584980237,58
aas_change,float64,330,65.21739130434783,60
